Study,r_OS,N_OS,pval_OS,r_RS,N_RS,pval_RS,Power_RS,Market_Belief,Survey_Belief_premarket,Survey_Belief_postmarket,FZ_OS,FZ_se_OS,pvalFZ_OS,FZ_RS,FZ_se_RS,pvalFZ_RS
Abeler et al. (AER 2011),0.182821975588,120,0.046,0.0790703532018,318,0.16,0.9,0.696,0.696,0.697,0.1849006979193144,0.09245003270420485,0.045499525126659016,0.07923575993108213,0.0563436169819011,0.15963647530464298
Ambrus and Greiner (AER 2012),0.310518647505,39,0.057,0.229536356959,119,0.012,0.91,0.692,0.542,0.62,0.3211193000337835,0.16666666666666666,0.054015057687671654,0.23369998214272913,0.09284766908852593,0.011835014950385787
Bartling et al. (AER 2012),0.719849875686,12,0.007,0.657411288278,20,0.001,0.94,0.805,0.807,0.733,0.9073333333341425,0.3333333333333333,0.006488814246441059,0.7882407813677028,0.24253562503633297,0.0011540500847878811
Charness and Dufwenberg (AER 2011),0.383943377571,43,0.01,0.363002684809,65,0.003,0.9,0.695,0.715,0.708,0.40467667217211567,0.15811388300841897,0.010485301751599804,0.3803399803406379,0.1270001270001905,0.0027462484648656605
Chen and Chen (AER 2011),0.842508557739,6,0.033,0.170189166838,14,0.571,0.9,0.778,0.682,0.692,1.2297560733742334,0.5773502691896258,0.033171613367162775,0.17186146640958477,0.30151134457776363,0.5686776980920646
de Clippel et al. (AER 2014),0.117768981826,790,0.001,0.266538269195,780,4e-10,0.9,0.759,0.73,0.716,0.1183180250335608,0.035646150289975954,9.026374884949515e-4,0.2731336313349018,0.03587480016670876,2.6672296555751042e-14
Duffy and Puzzello (AER 2014),0.761510174904,9,0.01,-0.11596300548,16,0.674,0.93,0.806,0.685,0.694,0.9998000633450198,0.4082482904638631,0.014325344814031197,-0.11648704120690814,0.2773500981126146,0.6744854536975262
Dulleck et al. (AER 2011),0.722509234548,21,1e-4,0.731605727911,16,8e-4,0.92,0.738,0.807,0.744,0.9128748545110158,0.23570226039551587,1.0750382769134384e-4,0.932173679757267,0.2773500981126146,7.76608255431059e-4
Fehr et al. (AER 2013),0.453281944406,30,0.011,0.311199311719,51,0.026,0.91,0.629,0.674,0.666,0.4888232279143777,0.19245008972987526,0.011085246886083762,0.32187277507272405,0.14433756729740646,0.025747442877430495
Friedman and Oprea (AER 2012),0.642590125822,78,4e-11,0.437953607707,40,0.004276,0.99,0.833,0.863,0.817,0.7625731949139198,0.11547005383792514,4.00000000001255e-11,0.4696959405158725,0.1643989873053573,0.00427599999997553
Fudenberg et al. (AER 2012),0.303741608956,124,0.001,0.326573539422,128,1.506473e-4,0.92,0.933,0.79,0.77,0.31363636363651626,0.09090909090909091,5.605865536288685e-4,0.33898790538915147,0.08944271909999159,1.506472847561234e-4
Huck et al. (AER 2011),0.832065702534,12,0.0039,0.367593525514,16,0.1415,0.91,0.92,0.749,0.73,1.1948132960112534,0.3333333333333333,3.3780235064148997e-4,0.3856377901576037,0.2773500981126146,0.164396270288325
Ifcher and Zarghamee (AER 2011),0.282103220856,58,0.031,-0.00701629144787,131,0.933,0.9,0.588,0.542,0.566,0.28996567632603526,0.13483997249264842,0.03152018933226611,-0.007016406584744417,0.08838834764831843,0.9367291203789587
Kessler and Roth (AER 2012),0.486223364603,288,1.631e-18,0.34463841128,48,0.016,0.95,0.937,0.837,0.825,0.5311024585568989,0.05923488777590923,3.0736236750411904e-19,0.3593466447663736,0.14907119849998599,0.015927589404005467
Kirchler et al (AER 2012),0.664409308738,12,0.0163,0.533556821497,22,0.0095,0.9,0.712,0.704,0.728,0.8006666666660978,0.3333333333333333,0.016305708431516314,0.5951044136608594,0.22941573387056174,0.00948664869157146
Kogan et al. (AER 2011),0.323896842962,160,2.6e-5,0.304223231247,112,0.001,0.94,0.802,0.748,0.752,0.33599457836066776,0.07980868844676221,2.5537068827754822e-5,0.31416702155205956,0.09578262852211514,0.0010380708664323114
Kuziemko et al. (QJE 2014),0.282261740933,42,0.07,-0.119848901099,144,0.154,0.92,0.632,0.568,0.582,0.29013791091930174,0.16012815380508713,0.07000000000031921,-0.12042772471272435,0.0842151921066519,0.15271701907275526
Ericson and Fuster (QJE 2011),0.212921823047,104,0.03,0.122871403263,248,0.0546,0.91,0.622,0.658,0.65,0.2162299393656333,0.09950371902099892,0.029773995988448335,0.12349541111613452,0.06388765649999399,0.05323509660556831
